division_id,kpi_id,period_id,year,target,realization
2,5,1,2016,95,97.68
2,5,2,2016,95,96.98
2,5,3,2016,95,99.39
2,5,4,2016,95,99.72
2,5,5,2016,95,98.98
2,5,6,2016,95,96.44
2,5,7,2016,95,98.39
2,5,8,2016,95,99.87
2,5,9,2016,95,98.92
2,5,10,2016,95,100
2,5,11,2016,95,100
2,5,12,2016,95,100
2,5,1,2017,95,99.97
2,5,2,2017,95,99.25
2,5,3,2017,95,96.26
2,5,4,2017,95,99.99
2,5,5,2017,95,100
2,5,6,2017,95,100
2,5,7,2017,95,95
2,5,8,2017,95,98.65
2,5,9,2017,95,100
2,5,10,2017,95,100
2,5,11,2017,95,99.67
2,5,12,2017,95,100
2,5,1,2018,95,100
2,5,2,2018,95,100
2,5,3,2018,95,99.98
2,5,4,2018,95,100
2,5,5,2018,95,99.53
2,5,6,2018,95,100
2,5,7,2018,95,98.87
2,5,8,2018,95,99.43
2,5,9,2018,95,96.89
2,5,10,2018,95,96.82
2,5,11,2018,95,96.99
2,5,12,2018,95,99.84
2,5,1,2019,95,100
2,5,2,2019,95,100
2,5,3,2019,95,100
2,5,4,2019,95,98.85
2,5,5,2019,95,99.99
2,5,6,2019,95,99.72
2,5,7,2019,95,99.99
2,5,8,2019,95,98.04
2,5,9,2019,95,99.79
2,5,10,2019,95,100
2,5,11,2019,95,100
2,5,12,2019,95,100
2,5,1,2020,95,99.6
2,5,2,2020,95,99.95
2,5,3,2020,95,99.97
2,5,4,2020,95,100
2,5,5,2020,95,99.97
2,5,6,2020,95,98.43
2,5,7,2020,95,99.64
2,5,8,2020,95,99.73
2,5,9,2020,95,99.98
2,5,10,2020,95,100
2,5,11,2020,95,100
2,5,12,2020,95,100
2,5,1,2021,95,100
2,5,2,2021,95,100
2,5,3,2021,95,99.48
2,5,4,2021,95,100
2,5,5,2021,95,100
2,5,6,2021,95,99.35
2,5,7,2021,95,100
2,5,8,2021,95,100
2,5,9,2021,95,100
2,5,10,2021,95,99.22
2,5,11,2021,95,99.86
2,5,12,2021,95,100
2,5,1,2022,95,100
2,5,2,2022,95,95.65
2,5,3,2022,95,96.06
2,5,4,2022,95,97.38
2,5,5,2022,95,95
2,5,6,2022,95,97.49
2,5,7,2022,95,97.53
2,5,8,2022,95,99.21
2,5,9,2022,95,100
2,5,10,2022,95,99.97
2,5,11,2022,95,100
2,5,12,2022,95,100
2,5,1,2023,95,100
2,5,2,2023,95,99.98
2,5,3,2023,95,100
2,5,4,2023,95,99.98
2,5,5,2023,95,99.91
2,5,6,2023,95,98.43
2,5,7,2023,95,99.64
2,5,8,2023,95,99.91
2,5,9,2023,95,100
2,5,10,2023,95,100
2,5,11,2023,95,100
2,5,12,2023,95,100
2,5,1,2024,95,98.18
2,5,2,2024,95,99.85
2,5,3,2024,95,100
2,5,4,2024,95,100
2,5,5,2024,95,100
2,5,6,2024,95,100
2,5,7,2024,95,100
2,5,8,2024,95,99.04
2,5,9,2024,95,97.87
2,5,10,2024,95,95.77
2,5,11,2024,95,97.6
2,5,12,2024,95,100
2,5,1,2025,95,100
2,5,2,2025,95,98.46
2,5,3,2025,95,99.82
2,5,4,2025,95,100
2,5,5,2025,95,100
2,5,6,2025,95,100
2,5,7,2025,95,98.88
2,5,8,2025,95,100
2,5,9,2025,95,100
2,5,10,2025,95,100
2,5,11,2025,95,100
2,5,12,2025,95,100
2,5,1,2026,95,100
2,5,2,2026,95,100
2,5,3,2026,95,99.97
