division_id,kpi_id,period_id,year,target,realization
2,6,1,2016,100,99.84
2,6,2,2016,100,100
2,6,3,2016,100,99
2,6,4,2016,100,99.85
2,6,5,2016,100,100
2,6,6,2016,100,99.98
2,6,7,2016,100,100
2,6,8,2016,100,100
2,6,9,2016,100,99
2,6,10,2016,100,100
2,6,11,2016,100,100
2,6,12,2016,100,99.84
2,6,1,2017,100,99.86
2,6,2,2017,100,99.96
2,6,3,2017,100,99.93
2,6,4,2017,100,100
2,6,5,2017,100,100
2,6,6,2017,100,100
2,6,7,2017,100,99.58
2,6,8,2017,100,100
2,6,9,2017,100,100
2,6,10,2017,100,100
2,6,11,2017,100,99.18
2,6,12,2017,100,99
2,6,1,2018,100,99.99
2,6,2,2018,100,99.78
2,6,3,2018,100,100
2,6,4,2018,100,100
2,6,5,2018,100,100
2,6,6,2018,100,99.02
2,6,7,2018,100,100
2,6,8,2018,100,100
2,6,9,2018,100,99.99
2,6,10,2018,100,99.77
2,6,11,2018,100,99.85
2,6,12,2018,100,100
2,6,1,2019,100,100
2,6,2,2019,100,100
2,6,3,2019,100,100
2,6,4,2019,100,100
2,6,5,2019,100,99.5
2,6,6,2019,100,100
2,6,7,2019,100,100
2,6,8,2019,100,100
2,6,9,2019,100,99
2,6,10,2019,100,99.67
2,6,11,2019,100,99.6
2,6,12,2019,100,100
2,6,1,2020,100,100
2,6,2,2020,100,99.55
2,6,3,2020,100,100
2,6,4,2020,100,99.94
2,6,5,2020,100,100
2,6,6,2020,100,99
2,6,7,2020,100,99.65
2,6,8,2020,100,100
2,6,9,2020,100,100
2,6,10,2020,100,99.96
2,6,11,2020,100,100
2,6,12,2020,100,100
2,6,1,2021,100,99
2,6,2,2021,100,99.96
2,6,3,2021,100,100
2,6,4,2021,100,100
2,6,5,2021,100,99
2,6,6,2021,100,99.85
2,6,7,2021,100,100
2,6,8,2021,100,100
2,6,9,2021,100,99.97
2,6,10,2021,100,99.96
2,6,11,2021,100,100
2,6,12,2021,100,100
2,6,1,2022,100,99.64
2,6,2,2022,100,99
2,6,3,2022,100,99.98
2,6,4,2022,100,100
2,6,5,2022,100,99.99
2,6,6,2022,100,100
2,6,7,2022,100,99.98
2,6,8,2022,100,99.98
2,6,9,2022,100,99
2,6,10,2022,100,99.88
2,6,11,2022,100,99
2,6,12,2022,100,99.99
2,6,1,2023,100,100
2,6,2,2023,100,100
2,6,3,2023,100,99
2,6,4,2023,100,99.95
2,6,5,2023,100,100
2,6,6,2023,100,99.51
2,6,7,2023,100,100
2,6,8,2023,100,99.98
2,6,9,2023,100,100
2,6,10,2023,100,99.84
2,6,11,2023,100,99.69
2,6,12,2023,100,100
2,6,1,2024,100,99
2,6,2,2024,100,100
2,6,3,2024,100,100
2,6,4,2024,100,100
2,6,5,2024,100,100
2,6,6,2024,100,100
2,6,7,2024,100,99.99
2,6,8,2024,100,100
2,6,9,2024,100,99.99
2,6,10,2024,100,100
2,6,11,2024,100,100
2,6,12,2024,100,100
2,6,1,2025,100,100
2,6,2,2025,100,100
2,6,3,2025,100,100
2,6,4,2025,100,99.21
2,6,5,2025,100,100
2,6,6,2025,100,99
2,6,7,2025,100,99.96
2,6,8,2025,100,100
2,6,9,2025,100,100
2,6,10,2025,100,100
2,6,11,2025,100,99.58
2,6,12,2025,100,99.7
2,6,1,2026,100,99.97
2,6,2,2026,100,100
2,6,3,2026,100,100
